experiment,seed,control,treatment,difference_treatment_minus_control,primary_metric,direction
dream_consolidation,30170,971.0,122.0,-849.0,retained_records,less
dream_consolidation,30223,1024.0,122.0,-902.0,retained_records,less
dream_consolidation,30276,1030.0,121.0,-909.0,retained_records,less
dream_consolidation,30329,1014.0,121.0,-893.0,retained_records,less
dream_consolidation,30382,1024.0,120.0,-904.0,retained_records,less
dream_consolidation,30435,1015.0,121.0,-894.0,retained_records,less
dream_consolidation,30488,1037.0,120.0,-917.0,retained_records,less
dream_consolidation,30541,955.0,123.0,-832.0,retained_records,less
dream_consolidation,30594,1074.0,121.0,-953.0,retained_records,less
dream_consolidation,30647,1043.0,121.0,-922.0,retained_records,less
dream_consolidation,30700,990.0,122.0,-868.0,retained_records,less
dream_consolidation,30753,975.0,123.0,-852.0,retained_records,less
dream_consolidation,30806,989.0,122.0,-867.0,retained_records,less
dream_consolidation,30859,988.0,120.0,-868.0,retained_records,less
dream_consolidation,30912,1003.0,121.0,-882.0,retained_records,less
dream_consolidation,30965,1083.0,120.0,-963.0,retained_records,less
dream_consolidation,31018,995.0,121.0,-874.0,retained_records,less
dream_consolidation,31071,1002.0,121.0,-881.0,retained_records,less
dream_consolidation,31124,1012.0,122.0,-890.0,retained_records,less
